as	0.57	0.00028344107409249126
av	0.69	0.0004146634615384615
ag	0.36	0.00043795620437956203
aa	1.94	0.0003368055555555555
ac	2.78	0.00036816315719772214
at	0.75	0.0005126452494873548
bam	1.62	0.0003389121338912134
ban	1.42	0.00036503856041131104
bca	0.01	0.00037037037037037035
bceh	0.11	0.00040740740740740744
bce	0.03	0.0003125
bco	0.07	0.0006194690265486726
bfr	0.02	0.0003448275862068966
bhi	0.04	0.00023529411764705883
bhy	0.05	0.00015384615384615385
bnu	0.56	0.00038594073053066855
bpu	0.0	0.0
bsp	0.05	0.00026881720430107527
bsu	0.04	0.00019801980198019803
br	0.66	0.0003741496598639456
ebv	0.4	0.00032232070910556004
fib	0.2	0.0002607561929595828
cols	0.14	0.00043750000000000006
colt	2.1	0.0003975766755017039
esog	0.04	0.0005633802816901409
esom	0.1	0.0002915451895043732
esomu	0.03	0.00044117647058823526
haa	0.17	0.0005
hlv	0.28	0.00029380902413431273
kc	0.03	0.0007692307692307692
liv	0.07	0.0003703703703703704
lu	0.71	0.0003594936708860759
msg	0.01	0.0005882352941176471
ms	4.34	0.0003824799506477483
nt	0.93	0.0003785103785103785
ov	0.08	0.00024922118380062304
pan	0.36	0.0005769230769230769
pit	0.02	0.0005128205128205128
pro	1.44	0.0003434295253994753
snse	0.96	0.00031893687707641196
sse	0.55	0.00035529715762273905
si	0.11	0.0003846153846153846
spl	2.14	0.00037504381352961795
sto	0.34	0.0003756906077348067
tes	2.09	0.0003833455612619222
thy	1.48	0.00036123993165731023
ut	3.21	0.0003748686208104636
va	0.0	nan
wb	11.72	0.0003477125734290631
