TISSUE	N_TRANSEQTLS	DHS_FRAC	ENRICHMENT	P_VALUE
ag	1177	0.16482582837723025	1.1920684178370873	0.00999000999000999
haa	12	0.25	1.8080728450956853	0.000999000999000999
liv	441	0.1473922902494331	1.0659839903058461	0.19880119880119881
msg	50	0.12	0.8678749656459289	0.954045954045954
pan	18	0.0	0	1.0
pit	53	0.09433962264150944	0.6822916396587492	1.0
si	815	0.17668711656441718	1.277852710153515	0.002997002997002997
spl	364	0.19505494505494506	1.4106941978219083	0.000999000999000999
va	23	0.17391304347826086	1.257789805283955	0.002997002997002997
wb	2257	0.17146654851572884	1.2400960408542847	0.003996003996003996
